股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
002317,19.29,18.98,31.5%,57.3%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,众生药业
002351,12.29,12.49,11.8%,52.9%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,漫步者
603088,11.44,11.2,30.8%,54.9%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,宁波精达
603811,11.63,11.58,15.9%,62.5%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,诚意药业
603779,6.87,6.76,31.0%,53.3%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,威龙股份
002803,18.63,18.66,33.8%,51.1%,80,建议观察，待放量确认,吉宏股份
603208,15.01,14.63,16.5%,59.2%,80,建议观察，待放量确认,江山欧派
000810,11.63,11.81,22.9%,51.5%,80,建议观察，待放量确认,创维数字
600770,6.77,6.6,40.2%,50.5%,80,建议观察，待放量确认,综艺股份
600435,16.46,16.05,18.2%,53.2%,80,建议观察，待放量确认,北方导航
601965,18.72,18.51,36.4%,52.1%,80,建议观察，待放量确认,中国汽研
002416,12.8,12.88,20.3%,50.8%,80,建议观察，待放量确认,爱施德
